#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A35D04
#Date Time: 2023-02-22 20:11:34.744
#Sample rate: 160000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 5.59167 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 100 mV/div Offset: -5.5731 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 100 mV/div Offset: -4.3874 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-0.02499366883116883,5.5908262608763,4.403221041202871
-0.02498741883116883,5.589169191219796,4.398228560916757
-0.02498116883116883,5.589500605151096,4.398228560916757
-0.02497491883116883,5.589832019082397,4.399892721012129
-0.02496866883116883,5.588837777288496,4.398228560916757
-0.02496241883116883,5.589169191219796,4.398894224954906
-0.02495616883116883,5.588506363357195,4.395898736783237
-0.02494991883116883,5.588506363357195,4.394567408706941
-0.02494366883116883,5.5911576748076,4.405218033317317
-0.02493741883116883,5.588837777288496,4.398561392935831
-0.02493116883116883,5.590494846944998,4.400225553031203
-0.02492491883116883,5.589500605151096,4.400558385050277
-0.02491866883116883,5.588174949425894,4.39689723284046
-0.02491241883116883,5.589169191219796,4.397895728897683
-0.02490616883116883,5.588506363357195,4.396231568802311
