#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A35D04
#Date Time: 2023-02-22 20:00:56.525
#Sample rate: 160000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 5.65734 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 50 mV/div Offset: -5.69535 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 100 mV/div Offset: -4.4325 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-0.02499311797752809,5.60573988778483,4.411408530236777
-0.02498686797752809,5.60607130171613,4.411075698217703
-0.02498061797752809,5.60607130171613,4.410742866198628
-0.02497436797752809,5.60573988778483,4.41007720216048
-0.02496811797752809,5.60607130171613,4.410742866198628
-0.02496186797752809,5.60607130171613,4.411075698217703
-0.02495561797752809,5.60607130171613,4.410742866198628
-0.02494936797752809,5.606402715647431,4.411741362255851
-0.02494311797752809,5.606402715647431,4.411741362255851
-0.02493686797752809,5.60573988778483,4.410410034179554
-0.02493061797752809,5.60607130171613,4.411408530236777
-0.02492436797752809,5.60607130171613,4.411408530236777
-0.02491811797752809,5.60607130171613,4.411408530236777
-0.02491186797752809,5.60607130171613,4.411408530236777
-0.02490561797752809,5.60607130171613,4.411075698217703
